?????;??????? ?????;???? ?????;????? ??;????? ??
Telekom Srbija a.d., Beograd;14 3575000;14 3575999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 3577000;14 3578999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 3590000;14 3593999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 410000;14 412999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 414000;14 416999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 430000;14 430999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 434000;14 436999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 437000;14 437999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 438000;14 438999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 439000;14 439999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 451000;14 452999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 457000;14 457999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 459000;14 459999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 461000;14 463999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 465000;14 465999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 471000;14 471999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 474000;14 475999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 481000;14 481999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 483000;14 483999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 489000;14 489999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;14 500000;14 500999;1.4.2012;1.4.2022
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;14 501000;14 501999;1.12.2014;1.12.2024
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;14 502000;14 502999;1.1.2017;1.1.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;14 503000;14 503999;19.2.2018;19.2.2028
ORION TELEKOM;14 510000;14 519999;6.7.2018;6.7.2028
BEOTELNET-ISP;14 520000;14 520999;1.8.2014;1.8.2024
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;14 521000;14 521999;1.10.2018;1.10.2028
TELEMARK SYSTEMS;14 530000;14 530999;15.8.2016;15.8.2026
TELENOR;14 540000;14 540999;2.2.2011;10.2.2020
TELENOR;14 541000;14 541999;15.9.2012;10.2.2020
KOPERNIKUS TECHNOLOGY;14 560000;14 560999;23.10.2017;23.10.2027
VIP MOBILE;14 590000;14 598999;6.2.2017;6.2.2027
VIP MOBILE;14 599000;14 599999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;14 67000;14 68999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 80000;14 80999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 86000;14 86999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;14 89000;14 89999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 210000;15 213999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 220000;15 220999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 230000;15 230999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 260000;15 260999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 262000;15 262999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 266000;15 266999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 268000;15 268999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 270000;15 271999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 273000;15 277999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 282000;15 285999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 287000;15 287999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 290000;15 290999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 292000;15 292999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 294000;15 296999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 300000;15 306999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 310000;15 314999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 319000;15 319999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 334000;15 336999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 339000;15 355999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 360000;15 365999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 367000;15 370999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 371000;15 371999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 375000;15 377999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 379000;15 381999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 384000;15 386999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 389000;15 396999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 397000;15 397999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 425000;15 426999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 430000;15 430999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 438000;15 438999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 440000;15 440999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 448000;15 450999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 457000;15 458999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 466000;15 466999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 470000;15 472999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 510000;15 510999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 513000;15 516999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 521000;15 522999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 524000;15 524999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 550000;15 550999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 552000;15 552999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 555000;15 558999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 560000;15 567999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 569000;15 574999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 577000;15 577999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 579000;15 579999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 581000;15 584999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 591000;15 592999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 595000;15 595999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 597000;15 597999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;15 600000;15 601999;1.4.2012;1.4.2022
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;15 602000;15 602999;1.1.2017;1.1.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;15 603000;15 604999;12.11.2018;12.11.2028
ORION TELEKOM;15 610000;15 619999;6.7.2018;6.7.2028
BEOTELNET-ISP;15 620000;15 620999;21.2.2016;21.2.2026
ASTRA TELEKOM;15 624000;15 624999;1.5.2017;1.5.2027
DETEL.COM;15 626000;15 626999;15.1.2018;15.1.2028
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;15 631000;15 631999;1.10.2018;1.10.2028
TELENOR;15 640000;15 640999;2.2.2011;10.2.2020
TELENOR;15 641000;15 641999;15.9.2012;10.2.2020
KOPERNIKUS TECHNOLOGY;15 660000;15 660999;23.10.2017;23.10.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;15 680000;15 681999;6.1.2015;6.1.2025
VIP MOBILE;15 690000;15 698999;6.2.2017;6.2.2027
VIP MOBILE;15 699000;15 699999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;15 7100000;15 7100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7101000;15 7101999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7102000;15 7102999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7150000;15 7150999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7160000;15 7160999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7195000;15 7195999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7274000;15 7275999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7279000;15 7279999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7300000;15 7304999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7305000;15 7305999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7306000;15 7306999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7314000;15 7314999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7334000;15 7334999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7336000;15 7336999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7339000;15 7352999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7353000;15 7353999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7354000;15 7355999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7360000;15 7360999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7413000;15 7413999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7416000;15 7416999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7425000;15 7426999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7448000;15 7449999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7457000;15 7457999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7462000;15 7462999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7464000;15 7464999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7466000;15 7466999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7471000;15 7472999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7511000;15 7511999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7517000;15 7517999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7518000;15 7518999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7556000;15 7558999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7560000;15 7562999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7569000;15 7569999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7581000;15 7584999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7591000;15 7591999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7715000;15 7715999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7737000;15 7737999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7740000;15 7751999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7755000;15 7755999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7760000;15 7760999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7762000;15 7762999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7786000;15 7787999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7796000;15 7796999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7799000;15 7799999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7881000;15 7885999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 7888000;15 7889999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 810000;15 812999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 815000;15 815999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 818000;15 820999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 822000;15 822999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 824000;15 824999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 832000;15 833999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 836000;15 836999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 840000;15 841999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 843000;15 843999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 846000;15 846999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 849000;15 855999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 857000;15 861999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 863000;15 864999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 866000;15 869999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 871000;15 879999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 881000;15 885999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 888000;15 889999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 891000;15 895999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;15 897000;15 898999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 200000;16 200999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 202000;16 202999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 210000;16 218999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 220000;16 225999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 228000;16 228999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 230000;16 237999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 240000;16 262999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 265000;16 269999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 280000;16 286999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 291000;16 291999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 294000;16 298999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3100000;16 3100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3101000;16 3101999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3150000;16 3150999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3151000;16 3151999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3155000;16 3155999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3406000;16 3406999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3412000;16 3416999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3417000;16 3417999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3418000;16 3418999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3420000;16 3422999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3423000;16 3423999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3426000;16 3427999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3428000;16 3428999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;16 3431000;16 3437999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3440000;16 3448999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3450000;16 3459999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3480000;16 3480999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3481000;16 3481999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3487000;16 3488999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3869000;16 3869999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3891000;16 3892999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 3893000;16 3893999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 50000;16 50999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;16 600000;16 601999;1.4.2012;1.4.2022
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;16 602000;16 602999;1.1.2017;1.1.2027
ORION TELEKOM;16 610000;16 619999;6.7.2018;6.7.2028
BEOTELNET-ISP;16 620000;16 620999;21.2.2016;21.2.2026
EXE NET;16 622000;16 622999;23.4.2018;23.4.2028
NETNET TELEKOM;16 626000;16 626999;25.9.2018;25.9.2028
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;16 631000;16 631999;1.10.2018;1.10.2028
TELENOR;16 640000;16 640999;2.2.2011;10.2.2020
TELENOR;16 641000;16 643999;15.9.2012;10.2.2020
KOPERNIKUS TECHNOLOGY;16 660000;16 660999;15.7.2014;15.7.2024
VIP MOBILE;16 690000;16 698999;6.2.2017;6.2.2027
VIP MOBILE;16 699000;16 699999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;16 730000;16 730999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 732000;16 732999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 734000;16 735999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 739000;16 739999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 781000;16 782999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 785000;16 785999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 791000;16 791999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 794000;16 797999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 811000;16 811999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 816000;16 817999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 820000;16 822999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 825000;16 827999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 831000;16 831999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 841000;16 841999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 843000;16 847999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 854000;16 857999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 861000;16 861999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 869000;16 877999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 886000;16 886999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 891000;16 892999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;16 895000;16 896999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;17 300000;17 300999;19.2.2018;19.2.2028
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;17 301000;17 301999;1.10.2018;1.10.2028
VIP MOBILE;17 310000;17 318999;6.2.2017;6.2.2027
VIP MOBILE;17 319000;17 319999;1.9.2012;1.9.2022
BEOTELNET-ISP;17 320000;17 320999;21.2.2016;21.2.2026
JOTEL;17 325000;17 325999;15.7.2016;15.7.2026
TELENOR;17 341000;17 342999;15.9.2012;10.2.2020
TELENOR;17 350000;17 350999;2.2.2011;10.2.2020
KOPERNIKUS TECHNOLOGY;17 360000;17 360999;15.7.2014;15.7.2024
ORION TELEKOM;17 390000;17 399999;6.7.2018;6.7.2028
Telekom Srbija a.d., Beograd;17 400000;17 402999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 404000;17 429999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 431000;17 434999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 440000;17 446999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 448000;17 448999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 452000;17 452999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 470000;17 476999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 479000;17 479999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 484000;17 484999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 490000;17 493999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 50000;17 50999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 545000;17 546999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 58000;17 59999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 650000;17 654999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 656000;17 658999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 660000;17 661999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 664000;17 665999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 667000;17 669999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7100000;17 7100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7101000;17 7101999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7150000;17 7150999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7151000;17 7151999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7155000;17 7155999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7400000;17 7401999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7404000;17 7405999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7410000;17 7418999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7419000;17 7419999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7420000;17 7428999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7431000;17 7434999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7441000;17 7442999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7450000;17 7450999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7455000;17 7456999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7457000;17 7457999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7459000;17 7459999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;17 7647000;17 7647999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7651000;17 7654999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7664000;17 7665999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7666000;17 7666999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7668000;17 7669999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7671000;17 7672999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7676000;17 7677999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7812000;17 7816999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 7828000;17 7828999;25.6.2018;25.6.2028
Telekom Srbija a.d., Beograd;17 7829000;17 7829999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 812000;17 816999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 828000;17 829999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;17 877000;17 879999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 200000;18 272999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 274000;18 283999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 285000;18 285999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 288000;18 299999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;18 300000;18 309999;1.4.2012;1.4.2022
ORION TELEKOM;18 3100000;18 3100999;6.7.2018;6.7.2028
ORION TELEKOM;18 3101000;18 3109999;6.7.2018;6.7.2028
BEOTELNET-ISP;18 3200000;18 3200999;1.8.2014;1.8.2024
KOPERNIKUS TECHNOLOGY;18 3210000;18 3210999;15.7.2014;15.7.2024
EXE NET;18 3230000;18 3230999;4.7.2016;4.7.2026
JOTEL;18 3250000;18 3251999;15.7.2016;15.7.2026
NETNET TELEKOM;18 3280000;18 3280999;1.12.2017;1.12.2027
TELENOR;18 3400000;18 3409999;2.2.2011;10.2.2020
TELENOR;18 3410000;18 3410999;15.9.2012;10.2.2020
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;18 3501000;18 3501999;1.10.2018;1.10.2028
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;18 3502000;18 3505999;12.11.2018;12.11.2028
VIP MOBILE;18 390000;18 398999;6.2.2017;6.2.2027
VIP MOBILE;18 399000;18 399999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;18 4100000;18 4100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4150000;18 4150999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4151000;18 4151999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4155000;18 4156999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4157000;18 4157999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4158000;18 4158999;25.6.2018;25.6.2028
Telekom Srbija a.d., Beograd;18 4200000;18 4258999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4259000;18 4259999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4260000;18 4272999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4274000;18 4274999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4276000;18 4297999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4299000;18 4299999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4500000;18 4501999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4502000;18 4502999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4504000;18 4504999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4505000;18 4505999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4507000;18 4508999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4510000;18 4553999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4555000;18 4567999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4569000;18 4577999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4580000;18 4585999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4588000;18 4596999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4599000;18 4599999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4601000;18 4602999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4640000;18 4640999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4649000;18 4649999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;18 4651000;18 4653999;10.6.2017;10.6.2027
