?????;??????? ?????;???? ?????;????? ??;????? ??
Telekom Srbija a.d., Beograd;32 630000;32 632999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 637000;32 638999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 640000;32 642999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 650000;32 652999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 660000;32 665999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 670000;32 670999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 682000;32 682999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 684000;32 685999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 700000;32 702999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 710000;32 718999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 720000;32 722999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 725000;32 727999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 733000;32 733999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 735000;32 736999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 738000;32 738999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 740000;32 742999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 751000;32 751999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 753000;32 755999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 760000;32 760999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 761000;32 761999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 762000;32 763999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 770000;32 771999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 800000;32 801999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 804000;32 807999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 809000;32 809999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 812000;32 812999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 817000;32 820999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 822000;32 824999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 826000;32 826999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 841000;32 841999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 844000;32 844999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 846000;32 846999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 853000;32 858999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 861000;32 861999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 863000;32 865999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 867000;32 868999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 873000;32 873999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 875000;32 878999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 882000;32 883999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 892000;32 892999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 895000;32 895999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2100000;33 2100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2150000;33 2150999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2152000;33 2152999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2155000;33 2155999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2436000;33 2437999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2445000;33 2455999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2611000;33 2616999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2684000;33 2684999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2716000;33 2716999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2755000;33 2755999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 2771000;33 2772999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;33 300000;33 300999;19.2.2018;19.2.2028
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;33 304000;33 304999;1.10.2018;1.10.2028
ORION TELEKOM;33 310000;33 319999;6.7.2018;6.7.2028
BEOTELNET-ISP;33 320000;33 320999;1.8.2014;1.8.2024
RADIJUS VEKTOR;33 330000;33 330999;1.12.2014;1.12.2019
TELENOR;33 340000;33 340999;2.2.2011;10.2.2020
TELENOR;33 341000;33 341999;15.9.2012;10.2.2020
VIP MOBILE;33 390000;33 398999;6.2.2017;6.2.2027
VIP MOBILE;33 399000;33 399999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;33 445000;33 448999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 449000;33 449999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 450000;33 455999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 46000;33 48999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 55000;33 57999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 61000;33 65999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 660000;33 660999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 670000;33 673999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 685000;33 685999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 710000;33 716999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 719000;33 719999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 73000;33 73999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 743000;33 743999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 75000;33 75999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 771000;33 773999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 776000;33 777999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 780000;33 783999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 788000;33 789999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 80000;33 80999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;33 86000;33 88999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;34 200000;34 209999;1.4.2012;1.4.2022
ORION TELEKOM;34 2100000;34 2100999;6.7.2018;6.7.2028
ORION TELEKOM;34 2101000;34 2109999;6.7.2018;6.7.2028
BEOTELNET-ISP;34 220000;34 220999;1.8.2014;1.8.2024
PREDUZE?E ZA TELEKOMUNIKACIJE OPTEL TELEKOM TIM D.O.O.;34 225000;34 225999;5.9.2016;5.9.2026
RADIJUS VEKTOR;34 230000;34 230999;1.12.2014;1.12.2019
TELENOR;34 240000;34 240999;2.2.2011;10.2.2020
TELENOR;34 241000;34 241999;15.9.2012;10.2.2020
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;34 250000;34 254999;4.12.2017;4.12.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;34 255000;34 259999;12.11.2018;12.11.2028
KOPERNIKUS TECHNOLOGY;34 260000;34 260999;15.7.2014;15.7.2024
VIP MOBILE;34 290000;34 298999;6.2.2017;6.2.2027
VIP MOBILE;34 299000;34 299999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;34 300000;34 308999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 309000;34 309999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 310000;34 390999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 394000;34 395999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 397000;34 398999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 500000;34 507999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 510000;34 511999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 513000;34 513999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 515000;34 515999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 518000;34 519999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 522000;34 522999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 530000;34 542999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 555000;34 555999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 561000;34 562999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 569000;34 569999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 570000;34 571999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 573000;34 579999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 582000;34 582999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 584000;34 587999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 589000;34 589999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 591000;34 591999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 593000;34 593999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 595000;34 595999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6100000;34 6100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6101000;34 6101999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6170000;34 6170999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6171000;34 6171999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6195000;34 6195999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6300000;34 6302999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6304000;34 6305999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6310000;34 6375999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6377000;34 6377999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6380000;34 6381999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6382000;34 6382999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6384000;34 6384999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;34 6386000;34 6386999;10.6.2017;10.6.2027
